Field,Total_cnt,Diff_cnt,Diff_pct,Up_cnt,Up_pct,Down_cnt,Down_pct,Matched,Mean_Base,Mean_Test,Standard_dev_Base,Standard_dev_Test,Change_standard_dev,Char_str_count_Base,Char_str_count_Test,Blank_Base,Blank_Test
time_ms,25000,24985,99.94,12998,51.992,11987,47.948,15,1960.77088,1492.59896,2032.285345236744,1391.0112588772968,641.2740863594472,0,0,0,0
seq,25000,0,0.0,0,0.0,0,0.0,25000,251950.53996,251950.53996,167436.84420599532,167436.84420599532,0.0,0,0,0,0
accountnumber,25000,0,0.0,0,0.0,0,0.0,25000,251950.53996,251950.53996,167436.84420599532,167436.84420599532,0.0,0,0,0,0
ageoldestrecord,25000,171,0.684,10,0.04,7,0.028,24829,279.52092,279.45712,135.36411896397487,135.2933145882868,0.07080437568808406,0,0,154,154
agenewestrecord,25000,165,0.66,9,0.036,2,0.008,24835,1.67568,1.66156,11.477006571934645,11.403936208846094,0.07307036308855075,0,0,154,154
recentupdate,25000,163,0.652,4,0.016,5,0.02,24837,0.96488,0.96492,0.1677845826269344,0.16767371817698376,0.00011086444995064837,0,0,154,154
srcsconfirmidaddrcount,25000,1091,4.364,413,1.652,524,2.096,23909,4.36192,4.35448,2.385600893215031,2.382065698361057,0.003535194853974133,0,0,154,154
creditbureaurecord,25000,157,0.628,3,0.012,0,0.0,24843,0.97028,0.97016,0.1517808650820795,0.15215222050651914,-0.00037135542443964,0,0,154,154
verificationfailure,25000,156,0.624,1,0.004,1,0.004,24844,0.0242,0.0242,0.1536579072407417,0.1536579072407417,0.0,0,0,154,154
ssnnotfound,25000,157,0.628,2,0.008,1,0.004,24843,-0.00684,-0.00688,0.1512379786981223,0.15110386825191985,0.0001341104462024567,0,0,154,154
ssnfoundother,25000,158,0.632,2,0.008,2,0.008,24842,0.01804,0.01808,0.2520963182589407,0.2520141076997736,8.221055916707298e-05,0,0,154,154
verifiedname,25000,160,0.64,3,0.012,3,0.012,24840,2.88956,2.88948,0.49728234969617624,0.4975862386756191,-0.00030388897944283455,0,0,154,154
verifiedssn,25000,163,0.652,4,0.016,5,0.02,24837,1.83376,1.83388,0.5886681406839159,0.5883961908920372,0.0002719497918787228,0,0,154,154
verifiedphone,25000,160,0.64,2,0.008,4,0.016,24840,0.12272,0.12284,0.8127281407567796,0.8128822657543779,-0.0001541249975983705,0,0,154,154
verifiedaddress,25000,175,0.7,11,0.044,10,0.04,24825,0.80028,0.80024,0.39482497570072916,0.39485539610986875,-3.0420409139586546e-05,0,0,154,154
verifieddob,25000,166,0.664,6,0.024,6,0.024,24834,5.05284,5.05268,3.265084346732107,3.2653809425662774,-0.00029659583417052104,0,0,154,154
ageriskindicator,25000,181,0.724,9,0.036,18,0.072,24819,22.44416,22.44932,10.698833653013008,10.718105140538771,-0.019271487525763575,0,0,154,154
subjectssncount,25000,314,1.256,58,0.232,102,0.408,24686,1.4038,1.40568,0.9690646669079087,0.9717654247035836,-0.002700757795674913,0,0,154,154
subjectaddrcount,25000,655,2.62,27,0.108,474,1.896,24345,13.1154,13.13416,8.31304025867192,8.3154331537389,-0.0023928950669791504,0,0,154,154
subjectphonecount,25000,161,0.644,0,0.0,7,0.028,24839,0.08204,0.08232,0.29035836158198597,0.29089866919698226,-0.0005403076149962938,0,0,154,154
subjectssnrecentcount,25000,282,1.128,66,0.264,62,0.248,24718,0.00672,0.00648,0.08505623683339632,0.08365278850258596,0.001403448330810353,0,0,154,154
subjectaddrrecentcount,25000,605,2.42,21,0.084,430,1.72,24395,0.1528,0.16992,0.4270226426146255,0.4550125990624299,-0.027989956447804387,0,0,154,154
subjectphonerecentcount,25000,166,0.664,1,0.004,11,0.044,24834,0.00264,0.00304,0.052848722475232646,0.05648783468379284,-0.003639112208560197,0,0,154,154
ssnidentitiescount,25000,265,1.06,45,0.18,66,0.264,24735,10.64104,10.64184,46.46611367704457,46.46616806434578,-5.438730121198887e-05,0,0,154,154
ssnaddrcount,25000,514,2.056,11,0.044,349,1.396,24486,20.88532,20.89852,45.10282205687256,45.10042289209613,0.002399164776434759,0,0,154,154
ssnidentitiesrecentcount,25000,680,2.72,19,0.076,507,2.028,24320,0.40896,0.43812,2.193472468253948,2.3428510242411082,-0.14937855598716032,0,0,154,154
ssnaddrrecentcount,25000,1081,4.324,13,0.052,914,3.656,23919,0.55928,0.6076,2.542282256129086,2.718931821621961,-0.17664956549287503,0,0,154,154
inputaddrphonecount,25000,191,0.764,0,0.0,37,0.148,24809,1.24016,1.24172,4.187931364522447,4.1901002153589175,-0.0021688508364707815,0,0,154,154
inputaddrphonerecentcount,25000,230,0.92,37,0.148,39,0.156,24770,0.06696,0.06688,0.539378104086323,0.5390913213619344,0.0002867827243886456,0,0,154,154
phoneidentitiescount,25000,154,0.616,0,0.0,0,0.0,24846,0.0324,0.0324,0.2372841618784618,0.2372841618784618,0.0,0,0,154,154
phoneidentitiesrecentcount,25000,154,0.616,0,0.0,0,0.0,24846,0.00056,0.00056,0.023657651367451713,0.023657651367451713,0.0,0,0,154,154
phoneother,25000,156,0.624,0,0.0,2,0.008,24844,-0.9472,-0.94708,0.26047165470669903,0.26083100066066917,-0.000359345953970136,0,0,154,154
ssnlastnamecount,25000,166,0.664,0,0.0,12,0.048,24834,0.18008,0.18056,0.41705087477734437,0.4174189206930473,-0.00036804591570294143,0,0,154,154
subjectlastnamecount,25000,523,2.092,19,0.076,350,1.4,24477,3.05764,3.07112,2.1375515877291567,2.143980600612663,-0.006429012883506502,0,0,154,154
